comment_id,original_text,comment_text,platform,date_collected,collector,has_emoji,label
5454,,xinhhhh,Tiktok,13/12/2005,Nhung,,Không xúc phạm
4693,,quay lại che mặt tiếp,Tiktok,2/12/2025,Nhung,,Không xúc phạm
2386,,"Su ơi tóc sẽ dài nhanh mà con,thỉnh thoảng thay đổi kiểu tóc cũng hay.nhân quá tuyêt vời,chăm lo cho mẹ,chị gái.giờ đến cả các cháu nữa.ngưỡng mộ e rất nhiều",YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
6251,,"Hoa hậu có miệng sao sao ý, cười cũng không đẹp",VnExpress, 28/10/2025,Phúc,,Mỉa mai
1032,,Tao thề là nó đập vô mắt tao;)),Facebook,03/12/2025,Nga,,Không xúc phạm
7231,,"TS rất đẹp, chúc mừng em",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
3437,,Bạn nữ bên trung mặt bả cx quá trắng r ik nhìn giống...,YOUTUBE,L3,Ngọc,,Mỉa mai
1873,,"Maria có đôi mắt biết cười, mặt đẹp toàn diện luôn
",Facebook,13/12/2025,Nga,,Không xúc phạm
4484,,😁,Tiktok,19/10/2025,Nhung,,
3764,,"Cương thì vừa sống dậy hay sao mà mặt Trắng thế,😂😂😂😂😂",YOUTUBE,L3,Ngọc,,Xúc phạm
3538,,Chị kia ngồi lòi chém chép kìa😂,YOUTUBE,L3,Ngọc,,Xúc phạm
813,,Bạn này cuốn hút 😍,Facebook,26/10/2025,Nga,,Không xúc phạm
5818,,kể ra thì ck mình cũng đc,Facebook,19/10/2025,Phúc,,Không xúc phạm
1603,,Giống con gà quá😭,Facebook,13/12/2025,Nga,,Xúc phạm
6076,,"thích cô này dã man luôn, nó quyến rũ từ đôi môi mà chẳng cần phải làm ố dề.",VnExpress, 27/10/2025,Phúc,,Không xúc phạm
1864,,"vẽ đẹp đánh đổi cho sự khổ luyện
",Facebook,13/12/2025,Nga,,Không xúc phạm
5119,,quá tuyệt vời luôn chi ơi ❤❤❤,Tiktok,3/12/2025,Nhung,,Không xúc phạm
6988,,Đẹp và giỏi! Chúc e thành công!,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
2624,,​​@HàAnhNgọc-m6qChuẩn luôn. Không cho vô giải vote là ctrinh giải thể luôn😅. Mong là sau cuộc thi bả phát triển hơn trong sự nghiệp😊,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
7010,,Thi hoa hậu để làm gì vậy?,VnExpress, 14/12/2025,Phúc,,Mỉa mai
6484,,"HL ngoài béo mà còn ko ổn định về tinh thần. muốn làm gì thì cũng có 1 cơ thể ổn định, adele xuất hiện đầu tiên cũng ko ốm nhưng dc cái là cái giọng quá hay, cũng ko scandal nhiều, càng ngày càng tốt hơn, phát triển hơn",VnExpress, 14/12/2025,Phúc,,Xúc phạm
4412,,k quỳ thì sao nhỉ,Tiktok,19/10/2025,Nhung,,Không xúc phạm
260,,cái mỏ má chề cả thước kkk,Facebook,10/20/2025 8:00:03,Nga,,Xúc phạm
3181,,cái thứ nhất t thấy cổ xinh mà cái thứ hai t cũng thấy ông xinh:))),YOUTUBE,L3,Ngọc,,Không xúc phạm
6533,,Thích em của bây giờ. Vì mình cũng tập gym!,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
1338,,"tay vừa thon vừa trắng mà ngón tay lại dài nữa, như miêu tả trong tieur thuyết luon chời 🥰",Facebook,03/12/2025,Nga,,Không xúc phạm
448,,Vậy chứ mấy cụ muốn cũng không được á,Facebook,10/20/2025 9:25:04,Nga,,Không xúc phạm
1416,,Đôi mắt nhìn vào xuyên tâm hồn:)),Facebook,03/12/2025,Nga,,Không xúc phạm
6357,,Thói quen đơn giản là nhờ app,VnExpress, 14/12/2025,Phúc,,Mỉa mai
5206,,Trời chị đẹp quá 🥺🥺🥺🥺,Tiktok,3/12/2025,Nhung,,Không xúc phạm
631,,Công nhận đẹp mê luôn,Facebook,26/10/2025,Nga,,Không xúc phạm
5707,,K hiểu sao trông cứ lệch lệch ntn ấy,VnExpress,19/10/2025,Phúc,,Mỉa mai
5052,,body bốc cháy luôn mê,Tiktok,3/12/2025,Nhung,,Không xúc phạm
7284,,Em nào cũng đẹp nhưng các em sẽ không có được tôi,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
289,,Còn gái túi 3tủi xem bảo :xinh đẹp quá .😂,Facebook,10/20/2025 8:10:10,Nga,,Không xúc phạm
2002,,Giọng gái nhật kìa,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
198,,Em bé Hồng Hài Nhi đẹp trai nhất nhà,Facebook,10/20/2025 0:04:45,Nga,,Không xúc phạm
5760,,nghe bảo gu của m,Facebook,19/10/2025,Phúc,,Không xúc phạm
5489,,Xinh quá🥰,Tiktok,13/12/2005,Nhung,,Không xúc phạm
3791,,Con trai đó cao thanh tú ý,YOUTUBE,L3,Ngọc,,Không xúc phạm
2160,,Chất lượng video chán vậy chị Nhân,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
472,,Cái quần nghị lực nhứt thế giới.,Facebook,10/20/2025 9:30:20,Nga,,Mỉa mai
7253,,Tường san đẹp quá,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
6405,,Hoa hậu có thể theo đánh giá của ban giám khảo là đẹp nhưng họ có đủ khôn khéo và thông minh hay không thì không thể đánh giá qua vài câu hỏi được. Không nên để họ đại diện cho quốc gia.,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
4185,,hoàn cảnh này giống mk ghê đi đâu cũng đi 1 mk😳,Tiktok,19/10/2025,Nhung,,Không xúc phạm
2753,,Con gái mà phong cách mặc đồ lạ thật :))),YOUTUBE,L2,Ngọc,,Không xúc phạm
5428,,Đẹp gái quá,Tiktok,13/12/2005,Nhung,,Không xúc phạm
3621,,khả hãn hơi bị xấu nha còn ốm nhom ốm nhách dáng không đẹp cho lắm nha,YOUTUBE,L3,Ngọc,,Xúc phạm
2141,,"em xem nx video của chị thấy tích cực qtr, em cx thấy bây h chị đệp lên nhìu ó, em cuối năm nay cx app mấy ngành học bằng ta của các trường, manifest đỗ đc các trường mong muốn vs đạt đc hb để đc đặt chân đến nhật, tiện em hỏi tt kohi dạy tiếng nhật có oki ổn áp khum ạ?",YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
5922,,xinh và duyên dáng,Tiktok,19/10/2025,Phúc,,Không xúc phạm
6415,,Cô dâu quá bình thường,VnExpress, 14/12/2025,Phúc,,Xúc phạm
490,,Bự ghê,Facebook,10/20/2025 13:40:17,Nga,,Không xúc phạm
6080,,Chúc chị và anh nhà mãi bình an hạnh phúc!,VnExpress, 27/10/2025,Phúc,,Không xúc phạm
1044,,Biểu tượng của nhan sắc,Facebook,03/12/2025,Nga,,Không xúc phạm
6098,,qúa ý chí và bản lĩnh vượt qua dèm pha để đi lên. người phụ nử tuyệt vời u50 đẹp và sang,VnExpress, 27/10/2025,Phúc,,Không xúc phạm
4795,,t dc nhớ sđt mẹ nhờ Trà Bông lên cân,Tiktok,2/12/2025,Nhung,,Mỉa mai
